VERSE IR — 20-VOWEL INTERCHANGE MATRIX (Biophysical Metrics)
============================================================

SCHOOL: [WILL]
  AE  | hsl(0, 85%, 30%)     | CN: 0.48 SP: 0.11 SK: 0.11
  AW  | hsl(358, 85%, 35%)   | CN: 0.45 SP: 0.10 SK: 0.15
  AA  | hsl(356, 95%, 37%)   | CN: 0.42 SP: 0.07 SK: 0.34
  AY  | hsl(0, 85%, 41%)     | CN: 0.50 SP: 0.17 SK: -0.23
  AH  | hsl(357, 85%, 43%)   | CN: 0.43 SP: 0.11 SK: 0.08
  EH  | hsl(0, 85%, 44%)     | CN: 0.50 SP: 0.18 SK: -0.29
  AO  | hsl(354, 85%, 47%)   | CN: 0.37 SP: 0.06 SK: 0.36
  OH  | hsl(355, 85%, 48%)   | CN: 0.39 SP: 0.09 SK: 0.16
  EY  | hsl(0, 85%, 49%)     | CN: 0.52 SP: 0.22 SK: -0.42
  ER  | hsl(358, 85%, 51%)   | CN: 0.46 SP: 0.17 SK: -0.27
  AX  | hsl(359, 85%, 51%)   | CN: 0.48 SP: 0.19 SK: -0.33
  OY  | hsl(356, 85%, 51%)   | CN: 0.40 SP: 0.12 SK: 0.00
  OW  | hsl(357, 85%, 53%)   | CN: 0.42 SP: 0.15 SK: -0.16
  UH  | hsl(356, 85%, 54%)   | CN: 0.41 SP: 0.14 SK: -0.14
  UR  | hsl(357, 85%, 54%)   | CN: 0.44 SP: 0.16 SK: -0.25
  IH  | hsl(1, 85%, 57%)     | CN: 0.53 SP: 0.28 SK: -0.61
  OO  | hsl(355, 85%, 57%)   | CN: 0.39 SP: 0.13 SK: -0.11
  YUW | hsl(0, 85%, 60%)     | CN: 0.51 SP: 0.28 SK: -0.61
  UW  | hsl(354, 95%, 63%)   | CN: 0.38 SP: 0.17 SK: -0.31
  IY  | hsl(2, 95%, 65%)     | CN: 0.56 SP: 0.36 SK: -0.76

SCHOOL: [DIVINATION]
  AE  | hsl(44, 90%, 55%)    | CN: 0.48 SP: 0.11 SK: 0.11
  AW  | hsl(42, 90%, 59%)    | CN: 0.45 SP: 0.10 SK: 0.15
  AA  | hsl(40, 100%, 60%)   | CN: 0.42 SP: 0.07 SK: 0.34
  AY  | hsl(45, 90%, 63%)    | CN: 0.50 SP: 0.17 SK: -0.23
  AH  | hsl(41, 90%, 64%)    | CN: 0.43 SP: 0.11 SK: 0.08
  EH  | hsl(45, 90%, 65%)    | CN: 0.50 SP: 0.18 SK: -0.29
  AO  | hsl(38, 90%, 67%)    | CN: 0.37 SP: 0.06 SK: 0.36
  EY  | hsl(45, 90%, 68%)    | CN: 0.52 SP: 0.22 SK: -0.42
  OH  | hsl(39, 90%, 68%)    | CN: 0.39 SP: 0.09 SK: 0.16
  ER  | hsl(42, 90%, 70%)    | CN: 0.46 SP: 0.17 SK: -0.27
  AX  | hsl(43, 90%, 70%)    | CN: 0.48 SP: 0.19 SK: -0.33
  OY  | hsl(40, 90%, 70%)    | CN: 0.40 SP: 0.12 SK: 0.00
  OW  | hsl(41, 90%, 71%)    | CN: 0.42 SP: 0.15 SK: -0.16
  UH  | hsl(40, 90%, 72%)    | CN: 0.41 SP: 0.14 SK: -0.14
  UR  | hsl(41, 90%, 72%)    | CN: 0.44 SP: 0.16 SK: -0.25
  IH  | hsl(46, 90%, 74%)    | CN: 0.53 SP: 0.28 SK: -0.61
  OO  | hsl(39, 90%, 74%)    | CN: 0.39 SP: 0.13 SK: -0.11
  YUW | hsl(45, 90%, 76%)    | CN: 0.51 SP: 0.28 SK: -0.61
  UW  | hsl(38, 100%, 78%)   | CN: 0.38 SP: 0.17 SK: -0.31
  IY  | hsl(47, 100%, 80%)   | CN: 0.56 SP: 0.36 SK: -0.76

SCHOOL: [NECROMANCY]
  AE  | hsl(119, 75%, 25%)   | CN: 0.48 SP: 0.11 SK: 0.11
  AW  | hsl(117, 75%, 30%)   | CN: 0.45 SP: 0.10 SK: 0.15
  AA  | hsl(115, 85%, 31%)   | CN: 0.42 SP: 0.07 SK: 0.34
  AY  | hsl(120, 75%, 35%)   | CN: 0.50 SP: 0.17 SK: -0.23
  AH  | hsl(116, 75%, 36%)   | CN: 0.43 SP: 0.11 SK: 0.08
  EH  | hsl(120, 75%, 37%)   | CN: 0.50 SP: 0.18 SK: -0.29
  AO  | hsl(113, 75%, 39%)   | CN: 0.37 SP: 0.06 SK: 0.36
  OH  | hsl(114, 75%, 40%)   | CN: 0.39 SP: 0.09 SK: 0.16
